id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_s,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
1,No candidate mentioned,1,yes,1,Neutral,0,0.6578,None of the above,1,,I_Am_Kenzi,,5,,,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,,8/7/2015 9:54,6.29697E+17,,Quito
2,Scott Walker,1,yes,1,Positive,1,0.6333,None of the above,1,,PeacefulQuest,,26,,,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfFâ€¦,,8/7/2015 9:54,6.29697E+17,,
3,No candidate mentioned,1,yes,1,Neutral,0,0.6629,None of the above,0.6629,,PussssyCroook,,27,,,RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,,8/7/2015 9:54,6.29697E+17,,
4,No candidate mentioned,1,yes,1,Positive,1,1,None of the above,0.7039,,MattFromTexas31,,138,,,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on â€¦,,8/7/2015 9:54,6.29697E+17,Texas,Central Time (US & Canada)
5,Donald Trump,1,yes,1,Positive,1,0.7045,None of the above,1,,sharonDay5,,156,,,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.coâ€¦,,8/7/2015 9:54,6.29697E+17,,Arizona
6,Ted Cruz,0.6332,yes,1,Positive,1,0.6332,None of the above,1,,DRJohnson11,,228,,,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",,8/7/2015 9:54,6.29697E+17,,Central Time (US & Canada)
7,No candidate mentioned,1,yes,1,Negative,2,0.6761,FOX News or Moderators,1,,DebWilliams57,,17,,,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://â€¦,,8/7/2015 9:54,6.29697E+17,North Georgia,Eastern Time (US & Canada)
8,No candidate mentioned,1,yes,1,Neutral,0,1,None of the above,1,,RaulAReyes,,0,,,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,,8/7/2015 9:54,6.29697E+17,New York NY,Eastern Time (US & Canada)
9,Ben Carson,1,yes,1,Negative,2,0.6889,None of the above,0.6444,,kengpdx,,0,,,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",,8/7/2015 9:54,6.29697E+17,,Pacific Time (US & Canada)
10,No candidate mentioned,0.4594,yes,0.6778,Negative,2,0.6778,None of the above,0.4594,,Kathielarsyn,,1,,,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,,8/7/2015 9:54,6.29697E+17,,
11,Donald Trump,1,yes,1,Negative,2,1,None of the above,1,,jnjsmom,,0,,,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,,8/7/2015 9:54,6.29697E+17,"Peoria, IL",Central Time (US & Canada)
12,Mike Huckabee,1,yes,1,Positive,1,1,Foreign Policy,0.652,,KLWorster,,188,,,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",,8/7/2015 9:54,6.29697E+17,"Fargo, ND",Central Time (US & Canada)
13,No candidate mentioned,1,yes,1,Negative,2,0.6957,None of the above,1,,wiggerblonde,,0,,,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,,8/7/2015 9:54,6.29697E+17,,
14,Jeb Bush,0.6947,yes,1,Neutral,0,0.6421,Foreign Policy,1,,NCBibleThumper,,5,,,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""",,8/7/2015 9:54,6.29697E+17,"Montgomery, AL ",Central Time (US & Canada)
15,Scott Walker,1,yes,1,Positive,1,1,None of the above,1,,In_Related_News,,215,,,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,,8/7/2015 9:54,6.29697E+17,"San Diego, California",Pacific Time (US & Canada)
16,Chris Christie,1,yes,1,Negative,2,1,None of the above,0.6778,,MDiner92,,0,,,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,,8/7/2015 9:54,6.29697E+17,,Central Time (US & Canada)
17,Donald Trump,0.3923,yes,0.6264,Negative,2,0.6264,Women's Issues (not abortion though),0.3923,,gina_catch22gg,,45,,,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.â€¦,,8/7/2015 9:54,6.29697E+17,,
18,Donald Trump,0.6404,yes,1,Negative,2,0.6629,FOX News or Moderators,1,,ERNESTZorro,,7,,,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,,8/7/2015 9:54,6.29697E+17,,Mountain Time (US & Canada)
19,No candidate mentioned,1,yes,1,Negative,2,1,None of the above,0.686,,LordWhatAMess,,0,,,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,,8/7/2015 9:54,6.29697E+17,,Eastern Time (US & Canada)
20,Mike Huckabee,1,yes,1,Negative,2,0.6669,LGBT issues,1,,oak523,,93,,,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",,8/7/2015 9:54,6.29697E+17,NJ,Eastern Time (US & Canada)
21,Ted Cruz,1,yes,1,Positive,1,1,None of the above,1,,rickymcghee,,6,,,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",,8/7/2015 9:54,6.29697E+17,"fripp island,sc/ southeast ga",
22,Donald Trump,0.2353,yes,0.6702,Negative,2,0.3511,None of the above,0.4492,,TeaTraitors,,2,,,RT @mchamric: RT â€œ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWrâ€,,8/7/2015 9:54,6.29697E+17,Conspiracy Theoryland,Pacific Time (US & Canada)
23,No candidate mentioned,1,yes,1,Negative,2,1,None of the above,0.3484,,hoopsfanatic28f,,404,,,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,,8/7/2015 9:54,6.29697E+17,"Lynnwood, WA",Pacific Time (US & Canada)
24,No candidate mentioned,1,yes,1,Neutral,0,0.6701,None of the above,0.6701,,ottcanada,,415,,,RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce,,8/7/2015 9:54,6.29697E+17,"Vancouver, Canada",Eastern Time (US & Canada)
25,No candidate mentioned,1,yes,1,Negative,2,0.6989,FOX News or Moderators,1,,brattymad,,93,,,RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/â€¦,,8/7/2015 9:54,6.29697E+17,,
26,Marco Rubio,0.6889,yes,1,Negative,2,1,None of the above,1,,America4Aliens,,0,,,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",,8/7/2015 9:54,6.29697E+17,"Sydney, New South Wales",
27,Scott Walker,1,yes,1,Negative,2,1,Abortion,1,,mch7576,,19,,,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badgerâ€¦,,8/7/2015 9:54,6.29697E+17,USA ,
28,No candidate mentioned,0.4209,yes,0.6488,Negative,2,0.3401,,0.2279,,lex_ruu,,156,,,"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #Gâ€¦",,8/7/2015 9:54,6.29697E+17,,Eastern Time (US & Canada)
29,Donald Trump,1,yes,1,Negative,2,1,None of the above,1,,OldOne4Sure,,2,,,RT @mch7576: RT â€œ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfuâ€â€,,8/7/2015 9:54,6.29697E+17,Cleveland Texas,Central Time (US & Canada)
30,No candidate mentioned,0.405,yes,0.6364,Negative,2,0.3295,None of the above,0.405,,outlawjoZ,,4965,,,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1eâ€¦,,8/7/2015 9:54,6.29697E+17,EveryWhere,Eastern Time (US & Canada)
31,No candidate mentioned,1,yes,1,Negative,2,1,None of the above,0.6702,,BMcCluregolf,,0,,,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,,8/7/2015 9:54,6.29697E+17,"Green Bay, WI",
32,Ted Cruz,0.4171,yes,0.6458,Negative,2,0.6458,None of the above,0.4171,,Ruppy_puppy,,14,,,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to â€¦,,8/7/2015 9:54,6.29697E+17,,Atlantic Time (Canada)
33,No candidate mentioned,1,yes,1,Neutral,0,0.6629,None of the above,1,,litvakfeliks,,0,,,The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF,,8/7/2015 9:54,6.29697E+17,European Union,Bratislava
34,No candidate mentioned,1,yes,1,Neutral,0,1,None of the above,1,,audreyspizza,,0,,,#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj,,8/7/2015 9:54,6.29697E+17,Canada,Eastern Time (US & Canada)
